fold;classifier;splitter;window;overlap;repeat;score;score_balanced_arousal;score_balanced_valence;score_precision;score_recall;type
0;0;1;6;0;0;0.4937853842649834;0.665276048238087;0.6978338740485094;0.6979627995867437;0.7241272595386608;features
1;0;1;6;0;0;0.4931346391618403;0.6604309319134507;0.7020460893890521;0.6972756319470073;0.7250517488338525;features
2;0;1;6;0;0;0.49245086554731227;0.6572824999327211;0.700830236497751;0.6975174902531478;0.7150505990033524;features
3;0;1;6;0;0;0.4878953533775869;0.6611710605827077;0.6915909098710229;0.6926342206891187;0.7216320154187815;features
4;0;1;6;0;0;0.4929714955095666;0.6628419277373312;0.6922188354693705;0.6954602363349978;0.7167433846386385;features
5;0;1;6;0;0;0.494110756816555;0.6639975176849067;0.69467913113526;0.6964436581681217;0.7206540320668645;features
6;0;1;6;0;0;0.49417583132686926;0.6624749604361301;0.6974447488930655;0.6964737669920877;0.7226875005073414;features
7;0;1;6;0;0;0.48887153455681376;0.6656096762381947;0.6926897540524555;0.6950990944361897;0.7246885184634375;features
8;0;1;6;0;0;0.4949238578680203;0.6608960330799574;0.7011804796323529;0.6966806154970114;0.7259336046170131;features
9;0;1;6;0;0;0.4798255889626448;0.6535135603044203;0.6924695104723115;0.6903592105148144;0.715502164632839;features
0;0;1;10;0;0;0.5156679494227597;0.6797921830752858;0.7146915189161508;0.7124760646477741;0.7370421149118913;features
1;0;1;10;0;0;0.5154480483782298;0.6741745724053543;0.7155070064053187;0.707969799418902;0.742502679841349;features
2;0;1;10;0;0;0.5079173081152408;0.6771678139866979;0.7129850588285255;0.7109137042157916;0.733395799429038;features
3;0;1;10;0;0;0.5108862986584561;0.6721842476969523;0.7139154173354136;0.7100841441188706;0.728546816062638;features
4;0;1;10;0;0;0.5073674950516824;0.6753426143303689;0.7070171761381424;0.7054795277184233;0.7367778090885886;features
5;0;1;10;0;0;0.5153380978559648;0.6755141955548347;0.7155605277732364;0.7098284990851391;0.7389872775711049;features
6;0;1;10;0;0;0.5111599780098955;0.6734890398198605;0.7156221931457893;0.7100297538617193;0.7344242253107635;features
7;0;1;10;0;0;0.5181438310974269;0.6826799947225866;0.7152495227658707;0.7154631440826419;0.734121725429897;features
8;0;1;10;0;0;0.5214427094787772;0.6835672113526476;0.7167201688628482;0.7132505311893331;0.7452728718850725;features
9;0;1;10;0;0;0.506487794149989;0.6721396871205708;0.7115321842269763;0.7077110103425893;0.7313802340624285;features
0;0;1;20;0;0;0.5269870189023002;0.6937907834458066;0.7135168339606859;0.719847962324832;0.738792330935621;features
1;0;1;20;0;0;0.5415622864951036;0.6960061076719566;0.7339097015062716;0.7305946122478288;0.7474120211918385;features
2;0;1;20;0;0;0.5252847380410023;0.6869873381045788;0.7149084789153255;0.7100075086777052;0.7590345644494421;features
3;0;1;20;0;0;0.5323462414578588;0.6849065094531274;0.7272137741811098;0.7179461681251658;0.7520355492554982;features
4;0;1;20;0;0;0.5287015945330296;0.6930754578223897;0.7157533178969242;0.7181748757344484;0.7466534415428372;features
5;0;1;20;0;0;0.5324527442496014;0.692853864338774;0.7200530112923462;0.7208949590168365;0.7455393985006435;features
6;0;1;20;0;0;0.5370075153723526;0.6889922507715731;0.7239422386778673;0.7187201784501784;0.7526500642724632;features
7;0;1;20;0;0;0.5239179954441914;0.6816167728485267;0.7231666858104919;0.7154703180104919;0.746015913192349;features
8;0;1;20;0;0;0.5291571753986333;0.6806572229752457;0.7268530752201696;0.7203169294424048;0.7365341700928656;features
9;0;1;20;0;0;0.5314350797266515;0.68987714871107;0.7327083658935281;0.7237073310290454;0.7543414262628827;features
0;0;1;30;0;0;0.5334750265674814;0.683870212637429;0.742602381282436;0.7316638001738389;0.7376738916755865;features
1;0;1;30;0;0;0.5267445979454481;0.6903248815079994;0.7251263705960037;0.7223335872950123;0.7453281714171278;features
2;0;1;30;0;0;0.5262225372076541;0.6813991465252536;0.7210526848755345;0.7126812477057253;0.750319617229908;features
3;0;1;30;0;0;0.5471296952515946;0.7095672383362481;0.7327195076567876;0.7333898904522929;0.7608172919051026;features
4;0;1;30;0;0;0.540396881644224;0.6894876696664476;0.7424471341159316;0.7308007130914027;0.7494722205328417;features
5;0;1;30;0;0;0.5345377258235919;0.6891204542708711;0.7387300400388145;0.7278283297292508;0.7513222238545973;features
6;0;1;30;0;0;0.5299326957137797;0.6980585735053095;0.7212892077740054;0.7237235655222208;0.7488355955340738;features
7;0;1;30;0;0;0.5372076541459957;0.69427128246871;0.734671361918336;0.7278867966796909;0.7523384597601908;features
8;0;1;30;0;0;0.5322466335931963;0.6829304043326536;0.7405016088241028;0.7248639458691721;0.7513960267637836;features
9;0;1;30;0;0;0.533309709425939;0.6965954627999466;0.7216779870838386;0.7234385619430755;0.7476297506168184;features
0;0;1;60;0;0;0.5059760956175299;0.6792373766449463;0.7158131034412147;0.7131436314363143;0.7360421191385084;features
1;0;1;60;0;0;0.5410358565737052;0.6945539611954135;0.7398748988642067;0.730159756475546;0.757397306933496;features
2;0;1;60;0;0;0.507177033492823;0.6747474747474748;0.7069639711482001;0.7099611099387149;0.7204756200363813;features
3;0;1;60;0;0;0.4984051036682616;0.668939393939394;0.716925688409792;0.7086936234124148;0.7314310750255113;features
4;0;1;60;0;0;0.5143540669856459;0.6668495023891952;0.7247194180408367;0.7075451100107366;0.7454198904450642;features
5;0;1;60;0;0;0.5258964143426295;0.6775675937294621;0.7239861163726464;0.7113245702730031;0.7533208299973903;features
6;0;1;60;0;0;0.4964143426294821;0.6560384480202937;0.7054119171249782;0.6977447153395746;0.7214956516353921;features
7;0;1;60;0;0;0.532695374800638;0.6923400673400674;0.7273040798168172;0.7221029911707878;0.7532221926438618;features
