fold,classifier,splitter,window,overlap,repeat,score,score_balanced_arousal,score_balanced_valence,score_precision,score_recall,type
0,0,1,6,0,0,0.4890710382513661,0.6754425073196699,0.6725016722408027,0.684054449400984,0.7499826410989342,raw
1,0,1,6,0,0,0.47540983606557374,0.6658330587918176,0.6878461538461538,0.6855609022990997,0.7527235286302644,raw
2,0,1,6,0,0,0.45901639344262296,0.6503539089720167,0.6675016722408027,0.6694286810542471,0.7416070262995247,raw
3,0,1,6,0,0,0.47766636280765723,0.6627597655859352,0.655822445561139,0.6672934854079782,0.7542238296441841,raw
4,0,1,6,0,0,0.44940747493163175,0.6445307292361019,0.6616661416478442,0.661138095712771,0.7477915988013193,raw
5,0,1,6,0,0,0.47996357012750457,0.6722617780143731,0.6524682274247492,0.6690221294550678,0.759845390054507,raw
6,0,1,6,0,0,0.4681238615664845,0.6827697744766241,0.6577959866220736,0.6759922562193081,0.7661707707326091,raw
7,0,1,6,0,0,0.4553734061930783,0.6495203010971677,0.6629598662207359,0.6655415399406506,0.7446092617302349,raw
8,0,1,6,0,0,0.4822242479489517,0.6696601796107766,0.6714472361809045,0.6763474560761347,0.7614195545200049,raw
9,0,1,6,0,0,0.4840474020054695,0.6846187175043328,0.679052084101313,0.6908222778138394,0.7551036673371088,raw
0,0,1,10,0,0,0.4846153846153846,0.6898496240601504,0.6513780729882425,0.6786152243568613,0.7596639904846862,raw
1,0,1,10,0,0,0.4676923076923077,0.6509054994729395,0.6679932050694762,0.6658757535908724,0.7585445800596268,raw
2,0,1,10,0,0,0.45692307692307693,0.6614514582007769,0.6606829286914033,0.6657350958982032,0.7686580685542983,raw
3,0,1,10,0,0,0.46841294298921415,0.6700192391946207,0.6574487022433197,0.6704846476061227,0.7554710667130526,raw
4,0,1,10,0,0,0.48228043143297383,0.7089442815249267,0.6615819209039548,0.6979826922520332,0.7465662640621635,raw
5,0,1,10,0,0,0.44153846153846155,0.6487715500873397,0.6561402504199114,0.6616924411042058,0.7423679254633759,raw
6,0,1,10,0,0,0.4707692307692308,0.6683887142572245,0.684331577340052,0.6855118814264589,0.7511653571840359,raw
7,0,1,10,0,0,0.4646153846153846,0.6567269066770496,0.6457283554741182,0.6650979988329386,0.7296165439541434,raw
8,0,1,10,0,0,0.4745762711864407,0.6842152884926758,0.6607122348977873,0.6772393417097933,0.772149329887514,raw
9,0,1,10,0,0,0.48382126348228044,0.690301633850021,0.6655367231638418,0.6850980656466941,0.759547359875408,raw
0,0,1,20,0,0,0.43630573248407645,0.6600162700833841,0.6173066699382489,0.6437447084018129,0.7678894205209994,raw
1,0,1,20,0,0,0.4394904458598726,0.6471426245522631,0.663395084447716,0.6595826993010601,0.7711547946170647,raw
2,0,1,20,0,0,0.4968152866242038,0.6978183002279388,0.6569132621764201,0.6882102272727273,0.7506869583597549,raw
3,0,1,20,0,0,0.4281150159744409,0.6299344799344799,0.6510283833813246,0.6526471612678509,0.7246880570409983,raw
4,0,1,20,0,0,0.41533546325878595,0.6715501718775577,0.5991475166790214,0.6629032258064516,0.6713735558408216,raw
5,0,1,20,0,0,0.4681528662420382,0.6844824079723408,0.6441949863002494,0.6673077916042753,0.7821903242955874,raw
6,0,1,20,0,0,0.45222929936305734,0.6436828394659719,0.6574857890647364,0.6654135338345865,0.7206545480166279,raw
7,0,1,20,0,0,0.4840764331210191,0.6857701074568545,0.6755408334355704,0.6958317448214513,0.7327908123722962,raw
8,0,1,20,0,0,0.4536741214057508,0.6525389025389026,0.6549156725627314,0.6693264639356622,0.7131907308377896,raw
9,0,1,20,0,0,0.43130990415335463,0.6459117695203798,0.6459311424100156,0.6559124662466247,0.7394986449864498,raw
0,0,1,30,0,0,0.4207920792079208,0.6325668238993711,0.6227272727272728,0.6352731299212598,0.7500857632933104,raw
1,0,1,30,0,0,0.4405940594059406,0.6621249385145105,0.6181818181818182,0.6495427990855982,0.751359388275276,raw
2,0,1,30,0,0,0.5148514851485149,0.7650270536153467,0.6634387351778657,0.7274068322981366,0.7609600679694137,raw
3,0,1,30,0,0,0.4079601990049751,0.6548659384309832,0.5672118069405664,0.6304828232773053,0.7158992556690323,raw
4,0,1,30,0,0,0.4577114427860697,0.6947916666666667,0.6584415584415584,0.6888429752066115,0.7393939393939394,raw
5,0,1,30,0,0,0.5,0.7069575471698113,0.6654150197628459,0.6943995502775631,0.7677530017152658,raw
6,0,1,30,0,0,0.44554455445544555,0.7083620265617314,0.6089920948616601,0.6878224974200207,0.6822854715378079,raw
7,0,1,30,0,0,0.46534653465346537,0.7048204623708805,0.6181818181818182,0.6741607956900124,0.7466864910790144,raw
8,0,1,30,0,0,0.47761194029850745,0.6573982125124131,0.6562126047068209,0.6625397245762712,0.7578327851826208,raw
9,0,1,30,0,0,0.4427860696517413,0.6453869047619047,0.6849650349650349,0.680398618957941,0.7153679653679654,raw
0,0,1,60,0,0,0.4888888888888889,0.7105393369619001,0.6781981085116974,0.7203977798334875,0.6984368215371255,raw
1,0,1,60,0,0,0.45555555555555555,0.6815476190476191,0.609258337481334,0.6528450363196125,0.7733843537414966,raw
2,0,1,60,0,0,0.36666666666666664,0.6517857142857143,0.5968143354902937,0.6496598639455782,0.6704931972789117,raw
3,0,1,60,0,0,0.47191011235955055,0.6699594731509625,0.6623475609756098,0.6670469361147328,0.7785904255319149,raw
4,0,1,60,0,0,0.4943820224719101,0.6827603640040445,0.6604591836734695,0.6727453580901857,0.7783939662821651,raw
5,0,1,60,0,0,0.45555555555555555,0.693963384463137,0.6378795420607267,0.6565193965517242,0.8332609639600521,raw
6,0,1,60,0,0,0.3888888888888889,0.6517857142857143,0.6112493777999004,0.6491228070175439,0.7215136054421769,raw
7,0,1,60,0,0,0.4666666666666667,0.6830357142857143,0.6682429069188651,0.681878306878307,0.773171768707483,raw
8,0,1,60,0,0,0.48314606741573035,0.7150455927051672,0.646849593495935,0.6891025641025641,0.7477836879432624,raw
9,0,1,60,0,0,0.5393258426966292,0.6820020222446916,0.7275510204081632,0.7108843537414966,0.7688553682342503,raw
0,2,1,6,0,0,0.36885245901639346,0.5544450359329253,0.594123745819398,0.5856929137496822,0.8300303202138617,raw
1,2,1,6,0,0,0.3652094717668488,0.551304321782623,0.5753377926421405,0.5768237669235122,0.8408887425557847,raw
2,2,1,6,0,0,0.39344262295081966,0.5786137150957901,0.5835685618729097,0.588112561671933,0.8488932596276593,raw
3,2,1,6,0,0,0.37101185050136737,0.5644321992652892,0.6061340033500837,0.5981425142818511,0.7848744877791496,raw
4,2,1,6,0,0,0.37192342752962626,0.564139781362485,0.5905037499748661,0.5898728255871113,0.7994658683190068,raw
5,2,1,6,0,0,0.3770491803278688,0.5769430396593026,0.5885986622073579,0.5912024113559422,0.8276955480205066,raw
6,2,1,6,0,0,0.3907103825136612,0.5722992602354069,0.5738963210702341,0.581893474225332,0.8601743867006313,raw
7,2,1,6,0,0,0.3588342440801457,0.5627002905148402,0.5774682274247491,0.5824098218166014,0.8231107144713813,raw
8,2,1,6,0,0,0.35460346399270737,0.5717059690248082,0.5755460636515913,0.5876753687576586,0.7880477937553976,raw
