fold,classifier,splitter,window,overlap,train_game_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
0,0,0,2,0.0,0.25,0,0.6133367574045541,0.24364813039309682,0.5538337595308079,0.7689806457278492,0.4950797424380175,0.5433894614892937,0.7817116938655518,0.5302171963546224,0.8613859882318446,0.7094860470489666,features
1,0,0,2,0.0,0.25,0,0.6167608286252354,0.24274072044925352,0.553532215403435,0.769588375733907,0.4950656833778353,0.5417099446042399,0.7916764324229268,0.5293490441192416,0.8563342645977592,0.7070719748991561,features
2,0,0,2,0.0,0.25,0,0.6107687039890429,0.24177624069762133,0.5550763055570797,0.7667752109787541,0.49408127349723807,0.5421577048045169,0.78942545500919,0.5296224866380546,0.8547127900332709,0.7044816418767761,features
3,0,0,2,0.0,0.25,0,0.6158719287732215,0.2422898689677213,0.5554377965123733,0.7683449013334402,0.4943916754926322,0.5417865132630233,0.786870430362065,0.5292732251104912,0.8586426428371281,0.7054122075095229,features
4,0,0,2,0.0,0.25,0,0.6102217275918158,0.24214148746747022,0.555351623182162,0.7678805335249066,0.4944658301433969,0.5419346569724086,0.7869870805980701,0.5294975829881191,0.8544828634722628,0.7057397612137546,features
0,0,0,2,0.0,0.5,0,0.5112138332477315,0.14212950280783454,0.6469597594846983,0.6303603043379555,0.49706490634516554,0.5468756513401976,0.6693432962409331,0.7166368295316095,0.5135451405911322,0.3849174406085548,features
1,0,0,2,0.0,0.5,0,0.5126482044258015,0.1426602520202712,0.6507455948236069,0.624524613207209,0.4990696965355609,0.546554670890825,0.6710055548138192,0.717202022963368,0.504474956543419,0.3844013994920085,features
2,0,0,2,0.0,0.5,0,0.5146171296494457,0.1426345706067662,0.651530533420326,0.6272294900465263,0.4982443927711227,0.5469725707615991,0.6760846322908369,0.7170043567840688,0.5054766672742705,0.3802130574214331,features
3,0,0,2,0.0,0.5,0,0.5158584085947866,0.1412905766333379,0.6559573964972583,0.6242220365856519,0.4989380642585919,0.5448267956146567,0.6666510634606854,0.7156558876490104,0.5125608691238425,0.38519360885233317,features
4,0,0,2,0.0,0.5,0,0.5116637418139793,0.14278009861662785,0.6520979809000411,0.6249707507402088,0.49955122577200806,0.5469110842469465,0.6663582664524696,0.7176331076805578,0.5107729748317502,0.3854719332567657,features
0,0,0,2,0.0,0.75,0,0.4783849336567271,0.0637412683194083,0.5809387375268233,0.6588104303449617,0.5204107972564349,0.5573200216766018,0.6936329641288788,0.4682091203092342,0.7460707106563453,0.7076316228271291,features
1,0,0,2,0.0,0.75,0,0.48132401198459124,0.06485412957129161,0.5817739471779702,0.6620115446513614,0.5217659856921602,0.5599774896827713,0.6975053285642956,0.46919748889419133,0.7450890963905094,0.7093303180624453,features
2,0,0,2,0.0,0.75,0,0.48158082465401625,0.06346733324202164,0.5829808059334713,0.665297601409232,0.5203278265358802,0.5590749927049898,0.6932657273939649,0.4686497842046017,0.7534791830481077,0.7103933052649131,features
3,0,0,2,0.0,0.75,0,0.4771579397916964,0.06401520339679496,0.5831256038465655,0.657026184518334,0.5213787889962387,0.5595251990495644,0.6917589034228022,0.4688809031958718,0.7469817356482122,0.7107476343324024,features
4,0,0,2,0.0,0.75,0,0.48530418901951833,0.06512806464867826,0.5822437983801383,0.6627649728428076,0.5180415222361531,0.5610779940806203,0.6939835780193573,0.4689648798124093,0.7505094932550876,0.7101431906290383,features
0,0,0,3,0.0,0.25,0,0.6348879154856996,0.24567958496529926,0.5782946482646869,0.7869043706868222,0.4936137436137436,0.5470578803912137,0.7979018998308929,0.5320238786860552,0.8680684594106196,0.7036606411606412,features
1,0,0,3,0.0,0.25,0,0.6437773769646998,0.24533601319315604,0.5793578440336806,0.791465576873679,0.4928619556279131,0.5481526575276575,0.8096199227721341,0.5325728516310201,0.8676283930139387,0.7028373747123747,features
2,0,0,3,0.0,0.25,0,0.6343725843854676,0.2453531917817632,0.5733640235088792,0.7888130142930211,0.494351217755473,0.5464866923200257,0.7971414406997228,0.5318758639698998,0.8697881176263751,0.7049322049322049,features
3,0,0,3,0.0,0.25,0,0.6441180260275737,0.24488936988936988,0.5803653125440342,0.7869873240175043,0.4927455778519608,0.5463288640371974,0.8094054972571743,0.5314135077907746,0.8610698571357434,0.7023685617435618,features
4,0,0,3,0.0,0.25,0,0.6475969591547481,0.24524153095581666,0.5762087382658249,0.8006318755660735,0.4936651904737011,0.5467422238255571,0.8088321772374529,0.531983421205425,0.8691078275633385,0.7026307963807964,features
