fold,classifier,splitter,window,overlap,train_subject_ratio,repeat,score,eval_score,score_balanced_arousal,score_balanced_valence,eval_score_balanced_arousal,eval_score_balanced_valence,score_precision,eval_score_precision,score_recall,eval_score_recall,type
0,0,0,3,0.0,0.25,0,0.3927927927927928,0.26611351611351614,0.581476268668387,0.7073903063947902,0.5646464646464646,0.5089466089466089,0.619163445732818,0.5829457586548564,0.7112655406990382,0.5809884559884559,raw
1,0,0,3,0.0,0.25,0,0.4018018018018018,0.26274651274651273,0.582263053050954,0.6890640773603953,0.5539600550964188,0.5101834673263245,0.616960558821024,0.5796132907695432,0.7062332738626227,0.577437173216394,raw
2,0,0,3,0.0,0.25,0,0.3989169675090253,0.268999518999519,0.5848050036791759,0.6738644825018616,0.5680785123966943,0.5167594310451453,0.6290880016506757,0.5892294826108073,0.6567004285157771,0.5763783474822436,raw
3,0,0,3,0.0,0.25,0,0.42057761732851984,0.2623857623857624,0.5966281875692949,0.6907510615711252,0.5680899908172635,0.511770768913626,0.6195862960568843,0.5855249016140456,0.6983552631578948,0.5842258390959689,raw
4,0,0,3,0.0,0.25,0,0.4296028880866426,0.25962000962000964,0.6066666666666667,0.7287693367238821,0.5610307621671258,0.5077097505668935,0.6564124732740592,0.5811521343080506,0.7120385674931129,0.5718970783905849,raw
5,0,0,3,0.0,0.25,0,0.4126126126126126,0.26406926406926406,0.6050801508722301,0.6722736865184861,0.5605486685032139,0.5,0.5990276210343923,0.5765195809732627,0.6977036488695598,0.5851698806244261,raw
6,0,0,3,0.0,0.25,0,0.4018018018018018,0.25144300144300147,0.5907335907335907,0.681390146542717,0.5474977043158862,0.5015254586683158,0.610499507065396,0.5722568572707527,0.6858255635548212,0.5758629898240288,raw
7,0,0,3,0.0,0.25,0,0.41696750902527074,0.26936026936026936,0.5957029965944801,0.7003121471740719,0.5703053259871441,0.5099979385693671,0.6351752363512009,0.586288273662437,0.711407542427883,0.5737195704728172,raw
8,0,0,3,0.0,0.25,0,0.4151624548736462,0.25865800865800864,0.5748687664041995,0.7062271690250432,0.5662649219467402,0.510657596371882,0.6450950708489767,0.585124902512431,0.6801956815114709,0.5708077997039036,raw
9,0,0,3,0.0,0.25,0,0.41155234657039713,0.2647907647907648,0.6005893627840873,0.7097768470649827,0.5619719926538108,0.5176458462172748,0.6500416901684773,0.5871418012698373,0.683472720575194,0.575523322276569,raw
0,0,0,3,0.0,0.5,0,0.4770063119927863,0.30573593073593075,0.6737059959530447,0.6706543032519263,0.5858585858585859,0.5164288041707397,0.6840598797992183,0.566040650743437,0.7727952044219537,0.6504619932039286,raw
1,0,0,3,0.0,0.5,0,0.46798917944093776,0.3133116883116883,0.6417592235043099,0.6966381929751713,0.579004329004329,0.540019550342131,0.6868159393982962,0.5759317826094603,0.7542726023097488,0.6433168086393892,raw
2,0,0,3,0.0,0.5,0,0.4616771866546438,0.3064574314574315,0.6746907820286288,0.6767610463407465,0.5786435786435786,0.5250765721733464,0.6961625728680637,0.5688659137321783,0.7519746979158219,0.6315051436019178,raw
3,0,0,3,0.0,0.5,0,0.5040577096483319,0.31313131313131315,0.6525016141571465,0.7184476477731208,0.5811688311688312,0.5309938090583253,0.6961905281065526,0.5723317765092545,0.7690189527999206,0.6415421496066658,raw
4,0,0,3,0.0,0.5,0,0.49458483754512633,0.3115079365079365,0.6698651819237819,0.6912830318184047,0.5753968253968254,0.5284718149234278,0.6889708509293442,0.5676859914608197,0.7638120500189466,0.6542149606665736,raw
5,0,0,3,0.0,0.5,0,0.4715960324616772,0.30284992784992787,0.6769045303911257,0.6835551640895152,0.5728715728715729,0.5192766373411535,0.6951146492481459,0.56346792056333,0.7638663608312171,0.6357701438346599,raw
